City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Bilma,NE,18.6853,12.9164,91.18,34,64,14.61,broken clouds
191,Airai,TL,-8.9266,125.4092,52.75,85,44,3.33,scattered clouds
192,Saint George,US,37.1041,-113.5841,101.79,21,0,17.27,clear sky
193,Vanimo,PG,-2.6741,141.3028,75.58,88,100,2.95,light rain
194,Villa Carlos Paz,AR,-31.4241,-64.4978,64.06,25,0,21.0,clear sky
195,Segovia,ES,41.1667,-4.0,93.43,17,0,9.33,clear sky
196,Mporokoso,ZM,-9.3727,30.125,62.11,47,74,10.22,broken clouds
197,Dzhebariki-Khaya,RU,62.2167,135.8,73.18,76,6,1.88,clear sky
198,Half Moon Bay,US,37.4636,-122.4286,91.89,67,40,17.27,mist
199,Grand Gaube,MU,-20.0064,57.6608,70.2,61,38,8.01,scattered clouds
200,Grandview,US,38.8858,-94.533,90.99,64,40,16.11,scattered clouds
201,Asau,RO,46.4333,26.4,67.12,63,10,4.16,clear sky
202,Kamphaeng Phet,TH,16.25,99.5,77.95,82,80,3.85,broken clouds
203,Hambantota,LK,6.1241,81.1185,80.15,79,100,15.97,overcast clouds
204,Bogande,BF,12.9714,-0.1436,79.48,69,13,5.68,few clouds
205,Saldanha,ZA,-33.0117,17.9442,57.25,92,0,7.85,clear sky
206,Bainbridge,US,47.6262,-122.5212,67.78,69,100,5.75,overcast clouds
207,Sakakah,SA,29.9697,40.2064,96.37,15,30,6.38,scattered clouds
208,Padang,ID,-0.9492,100.3543,76.6,79,12,4.16,few clouds
209,Agua Verde,MX,22.9,-106.05,78.89,68,100,7.67,overcast clouds
210,Seydi,TM,39.4816,62.9137,91.36,14,0,12.53,clear sky
211,Rock Springs,US,41.5875,-109.2029,94.23,16,0,5.75,clear sky
212,San Juan,AR,-31.5375,-68.5364,64.27,13,0,7.76,clear sky
213,Vilcun,CL,-38.65,-72.2333,47.14,98,100,8.75,overcast clouds
214,Progreso,MX,21.2833,-89.6667,94.1,59,15,14.9,few clouds
215,Matara,LK,5.9485,80.5353,78.67,85,100,9.98,overcast clouds
216,Ust-Nera,RU,64.5667,143.2,61.88,80,100,5.73,overcast clouds
217,Mackay,AU,-21.15,149.2,60.67,88,2,8.99,clear sky
218,Najran,SA,17.4924,44.1277,86.65,31,92,8.52,overcast clouds
219,San Cristobal,VE,7.7669,-72.225,84.38,53,58,6.58,broken clouds
220,Namie,JP,37.4833,141.0,74.71,96,95,4.81,overcast clouds
221,Elat,IL,29.5581,34.9482,93.04,36,0,10.36,clear sky
222,Madaoua,NE,14.073,5.96,82.24,62,100,11.86,overcast clouds
223,Rundu,NA,-17.9333,19.7667,54.28,37,0,6.87,clear sky
224,Usinsk,RU,65.9939,57.5281,62.53,86,100,4.7,overcast clouds
225,Bakloh,IN,32.4667,75.9167,72.84,69,1,4.88,clear sky
226,Tabou,CI,4.423,-7.3528,75.45,81,100,11.34,light rain
